Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
zombieSteveRadiated,entityclasses,Entity,,,Radiated Twitchy,,Verstrahlter Steve,Steve irradiado,Corps réanimé irradié,Steve irradiato,被爆したスティーブ,방사능 스티브,Napromieniowany Steve,Steve Radioativo,Облученный труп,Radyasyonlu Steve,被辐射的史蒂夫,被輻射的史帝夫,Steve irradiado
zombieTomClark,entityclasses,Entity,,,Tom Sawyer Brains,,Tom Clark,Tom Clark,Tom Clark,Tom Clark,トム・クラーク,톰 클락,Tom Clark,Tom Clark,Том Кларк,Tom Clark,汤姆·克拉克,湯姆克拉克,Tom Clark
zombieTomClarkFeral,entityclasses,Entity,,,Feral Tom Sawyer Brains,,Wilder Tom Clark,Tom Clark salvaje,Tom Clark féroce,Tom Clark feroce,残忍なトム・クラーク,흉포한 톰 클락,Dziki Tom Clark,Tom Clark Feroz,Дикий Том Кларк,Vahşi Tom Clark,凶残的汤姆·克拉克,野蠻的湯姆克拉克,Tom Clark salvaje
zombieTomClarkRadiated,entityclasses,Entity,,,Radiated Tom Sawyer Brains,,Verstrahlter Tom Clark,Tom Clark irradiado,Tom Clark irradié,Tom Clark irradiato,被爆したトム・クラーク,방사능 톰 클락,Napromieniowany Tom Clark,Tom Clark Radioativo,Облученный Том Кларк,Radyasyonlu Tom Clark,被辐射的汤姆·克拉克,被輻射的湯姆克拉克,Tom Clark irradiado
zombieUtilityWorker,entityclasses,Entity,,,Village People,,Wartungstechniker,Trabajador público,Ouvrier zombie,Operaio,作業員,전기공,Robotnik,Operário,Разнорабочий-зомби,Kamu İşçisi,公用事业工人,雜工,Trabajador público
zombieUtilityWorkerFeral,entityclasses,Entity,,,Feral Village People,,Wilder Wartungstechniker,Trabajador público salvaje,Ouvrier féroce,Operaio feroce,残忍作業員,흉포한 좀비 전기공,Dziki robotnik zombie,Trabalhador de Manutenção Feroz,Дикий разнорабочий-зомби,Vahşi Kamu İşçisi,凶残的公用事业工人,野蠻的雜工,Trabajador público salvaje
zombieUtilityWorkerRadiated,entityclasses,Entity,,,Radiated Village People,,Verstrahlter Wartungstechniker,Trabajador público irradiado,Ouvrier zombie irradié,Operaio irradiato,残忍な作業員,방사능 전기공,Napromieniowany robotnik,Operário Radioativo,Облученный разнорабочий-зомби,Radyasyonlu Kamu İşçisi,被辐射的公用事业工人,被輻射的雜工,Trabajador público irradiado
zombieWight,entityclasses,Entity,,,Marvin,,Wesen,Criatura,Esprit,Creatura,ワイト,유령,Istota,Aparição,Упырь,Yaratık,恶灵,屍妖,Criatura
zombieWightFeral,entityclasses,Entity,,,Feral Marvin,,Wildes Wesen,Criatura salvaje,Créature féroce,Creatura feroce,残忍ワイト,흉포한 혼령,Dzika istota,Pessoa Feroz,Дикий упырь,Vahşi Yaratık,凶残的怀特,野蠻的幽靈,Criatura salvaje
zombieWightRadiated,entityclasses,Entity,,,Radiated Marvin,,Verstrahltes Wesen,Criatura irradiada,Esprit irradié,Creatura irradiata,被爆したワイト,방사능 유령,Napromieniowana istota,Aparição Radioativa,Облученный упырь,Radyasyonlu Yaratık,被辐射的恶灵,被輻射的屍妖,Criatura irradiada
zombieYo,entityclasses,Entity,,,Rapper YoYo,,Yo,Yo,Carcasse pourrie,Yo,ヨー,요,Yo,Yo,Разлагающаяся туша,Yo,幽,幽,Yo
zombieYoFeral,entityclasses,Entity,,,Feral Rapper YoYo,,Wilder Yo,Yo salvaje,Carcasse pourrie féroce,Yo feroce,残忍なヨー,흉포한 요,Dziki Yo,Yo Feroz,Дикая туша,Vahşi Yo,凶残的幽,野蠻的幽,Yo salvaje
zombieYoRadiated,entityclasses,Entity,,,Radiated Rapper YoYo,,Verstrahlter Yo,Yo irradiado,Carcasse pourrie irradiée,Yo irradiato,被爆したヨー,방사능 요,Napromieniowany Yo,Yo Radioativo,Облученная туша,Radyasyonlu Yo,被辐射的幽,被輻射的幽,Yo irradiado
